entity_id,state,last_changed
sensor.esphome_web_87cd6c_cisterna,37.06,2024-05-25T03:00:00.000Z
sensor.esphome_web_87cd6c_cisterna,unknown,2024-05-25T03:48:43.949Z
sensor.esphome_web_87cd6c_cisterna,37.06,2024-05-25T03:48:43.972Z
